geocode,geocode_desc,total,owned_loan,owned_clear,rented
3715040,COVE CREEK,1111,519,351,241
3715260,CRAMERTON,3697,2413,464,820
3715320,CREEDMOOR,2391,1649,289,453
3715420,CRESWELL,122,41,36,45
3715440,CRICKET,1595,577,554,464
3715580,CROSSNORE,113,40,57,16
3715880,CULLOWHEE,2404,257,161,1986
3716180,DALLAS,3367,1675,483,1209
3716220,DANA,2589,1520,603,466
3716240,DANBURY,105,42,45,18
3716400,DAVIDSON,7978,5694,920,1364
3716480,DAVIS,417,222,115,80
3716730,DEERCROFT,357,276,67,14
3716780,DELCO,294,130,122,42
3716820,DELLVIEW,10,9,0,1
3716860,DELWAY,101,42,40,19
3716980,DENTON,1603,658,292,653
3717000,DENVER,2109,1138,375,596
3717180,DILLSBORO,220,91,39,90
3717325,DOBBINS HEIGHTS,95,14,38,43
3717340,DOBSON,981,415,152,414
3717520,DORTCHES,659,391,157,111
3717660,DOVER,179,57,74,48
3717860,DREXEL,1484,834,282,368
3718040,DUBLIN,224,63,106,55
3718060,DUCK,352,197,89,66
3718300,DUNDARRACH,30,15,9,6
3718320,DUNN,4449,2087,945,1417
3719000,DURHAM,84956,49224,9591,26141
3719140,EARL,238,120,62,56
3719300,EAST ARCADIA,20,8,7,5
3719320,EAST BEND,565,300,119,146
3719420,EAST FLAT ROCK,3529,1557,949,1023
3719620,EAST LAURINBURG,201,82,77,42
3719740,EASTOVER,2653,1461,633,559
3719800,EAST ROCKINGHAM,2550,807,888,855
3719860,EAST SPENCER,195,30,31,134
3720080,EDEN,10594,4589,2216,3789
3720120,EDENTON,1899,866,405,628
3720280,EDNEYVILLE,1849,853,478,518
3720420,EFLAND,440,229,101,110
3720580,ELIZABETH CITY,6648,2946,1132,2570
3720600,ELIZABETHTOWN,1425,639,339,447
3720620,ELKIN,2915,1445,600,870
3720700,ELK PARK,402,139,147,116
3720780,ELLENBORO,699,260,177,262
3720840,ELLERBE,491,175,124,192
3720980,ELM CITY,506,222,152,132
3721095,ELON,5642,2082,860,2700
3721120,ELROD,47,4,30,13
3721130,ELROY,2378,975,683,720
3721160,EMERALD ISLE,3488,1602,912,974
3721360,ENFIELD,294,124,128,42
3721380,ENGELHARD,209,77,80,52
3721500,ENOCHVILLE,2683,1433,686,564
3721740,ERWIN,3237,1607,741,889
3721880,ETOWAH,6398,3761,1797,840
3721960,EUREKA,140,70,48,22
3722040,EVERETTS,110,35,33,42
3722080,EVERGREEN,220,81,82,57
3722240,FAIR BLUFF,312,93,125,94
3722280,FAIRFIELD,145,64,66,15
3722305,FAIRFIELD HARBOUR,2770,1449,922,399
3722360,FAIRMONT,686,330,231,125
3722380,FAIRPLAINS,1533,628,433,472
3722440,FAIRVIEW,2510,1435,602,473
3722500,FAIRVIEW,3230,2165,690,375
3722560,FAISON,460,175,128,157
3722600,FAITH,775,454,176,145
3722620,FALCON,165,95,35,35
3722640,FALKLAND,63,29,13,21
3722720,FALLSTON,566,306,123,137
3722820,FARMVILLE,2170,1262,471,437
3722920,FAYETTEVILLE,80859,36765,10125,33969
3722982,FEARRINGTON VILLAGE,2232,893,955,384
3723520,FIVE POINTS,381,268,80,33
3723600,FLAT ROCK,3049,1532,1247,270
3723640,FLAT ROCK,1327,523,420,384
3723760,FLETCHER,6169,4177,918,1074
3724080,FOREST CITY,4788,1667,953,2168
3724170,FOREST HILLS,326,101,68,157
3724198,FOREST OAKS,3165,2267,725,173
3724380,FOSCOE,1267,516,325,426
3724440,FOUNTAIN,204,102,58,44
3724520,FOUR OAKS,1309,569,236,504
3724570,FOXFIRE,809,440,207,162
