geocode,geocode_desc,total,owned_loan,owned_clear,rented
3715320,CREEDMOOR,1550,937,207,406
3715420,CRESWELL,117,28,36,53
3715440,CRICKET,779,232,289,258
3715580,CROSSNORE,54,16,28,10
3715880,CULLOWHEE,1694,108,95,1491
3716180,DALLAS,1792,759,272,761
3716220,DANA,1267,638,322,307
3716240,DANBURY,42,14,20,8
3716400,DAVIDSON,3671,2229,518,924
3716480,DAVIS,189,91,66,32
3716730,DEERCROFT,181,132,38,11
3716780,DELCO,143,56,63,24
3716820,DELLVIEW,5,3,0,2
3716860,DELWAY,82,23,35,24
3716980,DENTON,680,251,164,265
3717000,DENVER,972,459,221,292
3717180,DILLSBORO,118,36,21,61
3717325,DOBBINS HEIGHTS,390,83,140,167
3717340,DOBSON,586,164,96,326
3717520,DORTCHES,383,212,98,73
3717660,DOVER,173,58,74,41
3717860,DREXEL,754,345,169,240
3718040,DUBLIN,131,24,58,49
3718060,DUCK,189,97,56,36
3718300,DUNDARRACH,18,8,5,5
3718320,DUNN,3956,1260,780,1916
3719000,DURHAM,93441,38805,7765,46871
3719140,EARL,107,49,30,28
3719300,EAST ARCADIA,190,71,56,63
3719320,EAST BEND,253,118,74,61
3719420,EAST FLAT ROCK,1972,758,571,643
3719620,EAST LAURINBURG,114,33,41,40
3719740,EASTOVER,1476,711,387,378
3719800,EAST ROCKINGHAM,1487,405,504,578
3719860,EAST SPENCER,633,150,97,386
3720080,EDEN,6645,2351,1431,2863
3720120,EDENTON,2075,593,413,1069
3720280,EDNEYVILLE,879,355,248,276
3720420,EFLAND,309,150,81,78
3720580,ELIZABETH CITY,6982,2182,1059,3741
3720600,ELIZABETHTOWN,1586,450,342,794
3720620,ELKIN,1680,606,402,672
3720700,ELK PARK,207,56,83,68
3720780,ELLENBORO,339,124,98,117
3720840,ELLERBE,425,117,129,179
3720980,ELM CITY,555,214,142,199
3721095,ELON,2794,918,517,1359
3721120,ELROD,160,42,69,49
3721130,ELROY,1596,596,427,573
3721160,EMERALD ISLE,1732,743,508,481
3721360,ENFIELD,946,238,202,506
3721380,ENGELHARD,163,55,47,61
3721500,ENOCHVILLE,1161,547,366,248
3721740,ERWIN,1811,749,467,595
3721880,ETOWAH,3020,1612,1027,381
3721960,EUREKA,93,42,36,15
3722040,EVERETTS,74,17,28,29
3722080,EVERGREEN,163,38,82,43
3722240,FAIR BLUFF,433,115,166,152
3722280,FAIRFIELD,106,44,46,16
3722305,FAIRFIELD HARBOUR,1465,750,527,188
3722360,FAIRMONT,1136,260,305,571
3722380,FAIRPLAINS,870,311,265,294
3722440,FAIRVIEW,1072,572,288,212
3722500,FAIRVIEW,1228,722,334,172
3722560,FAISON,365,93,90,182
3722600,FAITH,329,163,93,73
3722620,FALCON,74,34,22,18
3722640,FALKLAND,35,17,8,10
3722720,FALLSTON,237,114,62,61
3722820,FARMVILLE,1981,713,374,894
3722920,FAYETTEVILLE,78274,30572,8773,38929
3722982,FEARRINGTON VILLAGE,1373,516,594,263
3723520,FIVE POINTS,244,158,52,34
3723600,FLAT ROCK,1511,702,675,134
3723640,FLAT ROCK,656,236,216,204
3723760,FLETCHER,3008,1915,529,564
3724080,FOREST CITY,3173,900,634,1639
3724170,FOREST HILLS,201,47,39,115
3724198,FOREST OAKS,1509,1043,386,80
3724380,FOSCOE,631,238,160,233
3724440,FOUNTAIN,181,53,43,85
3724520,FOUR OAKS,807,270,169,368
3724570,FOXFIRE,437,204,116,117
3724640,FRANKLIN,1736,549,406,781
3724720,FRANKLINTON,876,334,219,323
3724740,FRANKLINVILLE,388,141,92,155
3724900,FREMONT,544,155,126,263
3725020,FRISCO,99,36,30,33
3725160,FRUITLAND,869,290,368,211
3725300,FUQUAY-VARINA,6692,4242,654,1796
3725380,GAMEWELL,1616,693,496,427
3725460,GARLAND,250,62,90,98
3725480,GARNER,10207,5535,1192,3480
3725540,GARYSBURG,461,142,163,156
3725560,GASTON,465,140,134,191
3725580,GASTONIA,27770,11437,4199,12134
3725680,GATESVILLE,139,63,44,32
3725880,GERMANTON,359,206,109,44
3725900,GERTON,130,55,41,34
3725940,GIBSON,219,40,51,128
3725980,GIBSONVILLE,2584,1613,365,606
3726200,GLEN ALPINE,614,294,180,140
3726460,GLEN RAVEN,1038,542,240,256
3726520,GLENVILLE,60,21,19,20
3726680,GLOUCESTER,234,108,82,44
3726740,GODWIN,54,24,18,12
3726880,GOLDSBORO,14965,4093,2147,8725
3726920,GOLDSTON,121,56,41,24
3727120,GORMAN,405,186,106,113
3727280,GRAHAM,5801,2283,1086,2432
3727320,GRANDFATHER,15,9,6,0
3727420,GRANITE FALLS,1863,873,340,650
3727440,GRANITE QUARRY,1149,597,219,333
3727520,GRANTSBORO,278,104,115,59
3727780,GREENEVERS,242,76,74,92
3727870,GREEN LEVEL,779,324,218,237
3728000,GREENSBORO,111731,45783,12825,53123
3728080,GREENVILLE,36071,10420,2961,22690
3728200,GRIFTON,1040,398,250,392
3728240,GRIMESLAND,163,50,56,57
3728400,GROVER,265,112,64,89
3728600,GULF,61,22,29,10
3728900,HALF MOON,2933,1751,288,894
3728920,HALIFAX,103,38,37,28
3729000,HALLSBORO,199,46,101,52
3729120,HAMILTON,181,37,74,70
3729160,HAMLET,2561,916,563,1082
3729180,HAMPSTEAD,1608,892,449,267
3729560,HARKERS ISLAND,529,221,207,101
3729640,HARMONY,206,99,51,56
3729680,HARRELLS,82,34,31,17
3729720,HARRELLSVILLE,46,18,14,14
3729800,HARRISBURG,4003,3149,487,367
3730040,HASSELL,38,15,14,9
3730100,HATTERAS,225,91,70,64
3730120,HAVELOCK,6409,2243,504,3662
3730260,HAW RIVER,921,444,241,236
3730280,HAYESVILLE,147,47,38,62
3730340,HAYS,719,321,222,176
3730620,HEMBY BRIDGE,562,321,127,114
3730660,HENDERSON,6164,1452,1150,3562
3730720,HENDERSONVILLE,6450,1661,1417,3372
3730800,HENRIETTA,193,51,79,63
3730900,HERTFORD,875,248,185,442
3731060,HICKORY,16614,6284,2711,7619
3731260,HIDDENITE,230,79,90,61
3731360,HIGHLANDS,461,188,163,110
3731400,HIGH POINT,40912,18499,4864,17549
