geocode,geocode_desc,total,owned,rented
3721100,NA,1903,1200,703
3721120,ELROD,159,132,27
3721130,ELROY,1534,1078,456
3721160,EMERALD ISLE,1644,1318,326
3721360,ENFIELD,865,401,464
3721500,ENOCHVILLE,1143,951,192
3721740,ERWIN,1896,1367,529
3721880,ETOWAH,1280,1129,151
3721960,EUREKA,108,82,26
3722040,EVERETTS,80,53,27
3722240,FAIR BLUFF,505,357,148
3722305,FAIRFIELD HARBOUR,999,904,95
3722360,FAIRMONT,1078,615,463
3722380,FAIRPLAINS,886,615,271
3722440,FAIRVIEW,907,743,164
3722560,FAISON,314,184,130
3722600,FAITH,276,222,54
3722620,FALCON,84,62,22
3722640,FALKLAND,39,25,14
3722720,FALLSTON,230,188,42
3722820,FARMVILLE,1839,1042,797
3722920,FAYETTEVILLE,48414,25815,22599
3722970,NA,506,480,26
3723520,FIVE POINTS,113,88,25
3723600,FLAT ROCK,1169,1067,102
3723640,FLAT ROCK,696,531,165
3723760,FLETCHER,1744,1464,280
3724080,FOREST CITY,3245,1682,1563
3724170,FOREST HILLS,156,92,64
3724198,FOREST OAKS,1227,1165,62
3724260,NA,4315,54,4261
3724440,FOUNTAIN,227,119,108
3724520,FOUR OAKS,614,342,272
3724570,FOXFIRE,222,194,28
3724640,FRANKLIN,1627,942,685
3724720,FRANKLINTON,722,472,250
3724740,FRANKLINVILLE,441,344,97
3724900,FREMONT,591,339,252
3725300,FUQUAY-VARINA,3122,1922,1200
3725380,GAMEWELL,1501,1193,308
3725460,GARLAND,276,173,103
3725480,GARNER,6950,4805,2145
3725540,GARYSBURG,482,351,131
3725560,GASTON,429,284,145
3725580,GASTONIA,25945,14716,11229
3725680,GATESVILLE,117,97,20
3725940,GIBSON,213,118,95
3725980,GIBSONVILLE,1707,1236,471
3726200,GLEN ALPINE,423,343,80
3726460,GLEN RAVEN,1068,799,269
3726740,GODWIN,38,32,6
3726880,GOLDSBORO,14630,6225,8405
3726920,GOLDSTON,128,99,29
3727120,GORMAN,406,305,101
3727280,GRAHAM,5241,2897,2344
3727320,GRANDFATHER,32,32,0
3727420,GRANITE FALLS,1758,1135,623
3727440,GRANITE QUARRY,871,600,271
3727780,GREENEVERS,210,116,94
3727870,GREEN LEVEL,741,613,128
3728000,GREENSBORO,92394,48964,43430
3728080,GREENVILLE,25204,9906,15298
3728200,GRIFTON,812,582,230
3728240,GRIMESLAND,174,130,44
3728400,GROVER,280,187,93
3728900,HALF MOON,2261,1500,761
3728920,HALIFAX,103,83,20
3729120,HAMILTON,191,140,51
3729160,HAMLET,2453,1582,871
3729560,HARKERS ISLAND,661,574,87
3729640,HARMONY,206,162,44
3729680,HARRELLS,80,65,15
3729720,HARRELLSVILLE,47,41,6
3729800,HARRISBURG,1556,1465,91
3730040,HASSELL,32,26,6
3730120,HAVELOCK,6411,2428,3983
3730260,HAW RIVER,828,630,198
3730280,HAYESVILLE,147,88,59
3730340,HAYS,686,555,131
3730620,HEMBY BRIDGE,341,293,48
3730660,HENDERSON,6332,2969,3363
3730720,HENDERSONVILLE,4579,2611,1968
3730900,HERTFORD,877,474,403
3731060,HICKORY,15372,8451,6921
3731360,HIGHLANDS,445,332,113
3731400,HIGH POINT,33519,19780,13739
3731440,HIGH SHOALS,284,182,102
3731490,HIGHTSVILLE,163,126,37
3731500,HILDEBRAN,597,413,184
3731620,HILLSBOROUGH,2101,1272,829
3731860,HOBGOOD,165,112,53
3731920,HOFFMAN,219,172,47
3731960,HOLDEN BEACH,379,331,48
3732180,HOLLY RIDGE,321,190,131
3732260,HOLLY SPRINGS,3316,2842,474
3732540,HOOKERTON,200,132,68
3732640,HOPE MILLS,4112,2713,1399
3732840,HOT SPRINGS,293,185,108
3732980,HUDSON,1324,907,417
3733120,HUNTERSVILLE,9171,6912,2259
3733320,ICARD,1121,821,300
3733460,INDIAN BEACH,50,41,9
3733560,INDIAN TRAIL,4299,3844,455
3733640,INGOLD,163,113,50
3733940,IVANHOE,113,92,21
3733993,JAARS,126,106,20
3734000,JACKSON,218,183,35
3734200,JACKSONVILLE,17175,6733,10442
3734260,JAMES CITY,2184,1706,478
3734300,JAMESTOWN,1229,919,310
3734320,JAMESVILLE,199,130,69
3734440,JEFFERSON,582,354,228
3734840,JONESVILLE,668,397,271
3735200,KANNAPOLIS,14804,9878,4926
3735340,KEENER,206,141,65
3735360,KELFORD,99,74,25
3735440,KELLY,205,186,19
3735460,KENANSVILLE,281,202,79
3735540,KENLY,671,318,353
3735600,KERNERSVILLE,7286,3906,3380
3735720,KILL DEVIL HILLS,2585,1743,842
3735760,KING,2303,1846,457
3735870,KINGS GRANT,3011,2448,563
3735880,KINGS MOUNTAIN,3821,2409,1412
3735890,KINGSTOWN,258,216,42
3735920,KINSTON,9829,5112,4717
3735975,NA,212,179,33
3736020,KITTRELL,59,46,13
3736060,KITTY HAWK,1265,945,320
3736080,KNIGHTDALE,2172,1613,559
3736220,KURE BEACH,723,550,173
3736400,LA GRANGE,1211,815,396
3736480,LAKE JUNALUSKA,1262,997,265
3736500,LAKE LURE,495,428,67
3736511,LAKE NORMAN OF CATAWBA,1988,1681,307
3736512,LAKE PARK,750,741,9
3736513,LAKE ROYALE,38,34,4
3736640,LAKE WACCAMAW,529,396,133
3736860,LANDIS,1205,917,288
3736960,LANSING,69,48,21
3737000,LASKER,48,38,10
3737040,LATTIMORE,119,87,32
3737160,LAUREL PARK,930,810,120
3737220,LAURINBURG,6136,3553,2583
3737260,LAWNDALE,270,212,58
3737640,LEGGETT,29,21,8
3737680,LELAND,781,548,233
3737760,LENOIR,6913,4365,2548
3738030,LEWISTON WOODVILLE,239,163,76
3738040,LEWISVILLE,3341,2892,449
3738060,LEXINGTON,7926,3949,3977
3738100,LIBERTY,1033,714,319
3738170,LIGHT OAK,240,174,66
3738200,LILESVILLE,186,146,40
3738220,LILLINGTON,799,442,357
3738320,LINCOLNTON,3878,2175,1703
3738360,LINDEN,51,45,6
3738680,LITTLETON,333,199,134
3738860,LOCUST,922,750,172
3739280,LONG VIEW,2028,1291,737
3739360,LOUISBURG,1123,542,581
3739420,LOVE VALLEY,17,15,2
3739480,LOWELL,1085,689,396
3739520,LOWESVILLE,552,474,78
3739600,LUCAMA,387,223,164
3739680,LUMBER BRIDGE,42,33,9
3739700,LUMBERTON,7827,4514,3313
3739880,MCADENVILLE,247,131,116
3739960,MACCLESFIELD,209,133,76
3740140,MCDONALD,40,31,9
3740240,MCFARLAN,38,34,4
3740460,MCLEANSVILLE,439,333,106
3740540,MACON,45,36,9
3740560,MADISON,972,610,362
3740600,MAGGIE VALLEY,297,210,87
3740640,MAGNOLIA,343,184,159
3740660,MAIDEN,1187,898,289
3741060,MANTEO,515,256,259
3741380,MARIETTA,60,51,9
3741420,MARION,2146,1280,866
3741540,MAR-MAC,1232,918,314
3741580,MARSHALL,390,228,162
3741620,MARS HILL,541,318,223
3741640,MARSHVILLE,812,572,240
3741720,MARVIN,329,318,11
3741740,NA,4253,3870,383
3741960,MATTHEWS,7837,6125,1712
3742020,MAXTON,985,583,402
3742060,MAYODAN,1173,716,457
3742100,MAYSVILLE,389,264,125
3742240,MEBANE,2936,1861,1075
3742480,MESIC,106,94,12
3742620,MICRO,211,124,87
3742640,MIDDLEBURG,54,39,15
3742700,MIDDLESEX,381,221,160
3743160,MILLERS CREEK,850,642,208
3743300,MILTON,65,48,17
3743360,MINERAL SPRINGS,475,427,48
3743440,MINNESOTT BEACH,151,134,17
3743480,MINT HILL,5581,4697,884
3743720,MOCKSVILLE,1627,1026,601
3743860,MOMEYER,118,100,18
3743920,MONROE,9029,5063,3966
3744100,MONTREAT,185,132,53
3744160,MOORESBORO,131,107,24
3744220,MOORESVILLE,7139,4677,2462
3744280,MORAVIAN FALLS,600,427,173
3744320,MOREHEAD CITY,3597,1997,1600
3744400,MORGANTON,6829,3891,2938
3744520,MORRISVILLE,2476,750,1726
3744560,MORVEN,207,130,77
3744700,MOUNTAIN HOME,906,729,177
3744770,MOUNTAIN VIEW,1364,1214,150
3744800,MOUNT AIRY,3667,2017,1650
3744900,MOUNT GILEAD,502,353,149
3744960,MOUNT HOLLY,4028,2429,1599
3745100,MOUNT OLIVE,1770,1045,725
3745140,MOUNT PLEASANT,473,353,120
3745560,MULBERRY,940,793,147
3745640,MURFREESBORO,919,595,324
3745660,MURPHY,725,402,323
3745720,MURRAYSVILLE,2896,2483,413
3745840,MYRTLE GROVE,2839,2463,376
3745880,NAGS HEAD,1138,838,300
3746000,NASHVILLE,1629,1073,556
3746060,NAVASSA,177,142,35
3746280,NEUSE FOREST,526,430,96
3746340,NEW BERN,10006,5651,4355
3746740,NEWLAND,334,226,108
3746820,NEW LONDON,131,109,22
3746860,NEWPORT,1136,834,302
3747000,NEWTON,5007,3138,1869
3747020,NEWTON GROVE,223,152,71
3747240,NORLINA,482,277,205
3747260,NORMAN,33,24,9
3747695,NORTHLAKES,511,472,39
3747845,NORTH TOPSAIL BEACH,451,277,174
3747860,NORTHWEST,260,214,46
3747880,NORTH WILKESBORO,1639,754,885
3747980,NORWOOD,893,646,247
3748040,OAKBORO,485,370,115
3748060,OAK CITY,144,108,36
3748345,OAK ISLAND,3076,2427,649
3748480,OAK RIDGE,1382,1274,108
3748700,OCEAN ISLE BEACH,209,180,29
3748740,OCRACOKE,370,291,79
3748790,OGDEN,2133,1900,233
3748920,OLD FORT,441,273,168
3749380,ORIENTAL,440,353,87
3749460,ORRUM,32,22,10
3749800,OXFORD,3188,1841,1347
3750080,PANTEGO,65,55,10
3750340,PARKTON,175,131,44
3750540,PARMELE,114,83,31
3750700,PATTERSON SPRINGS,254,168,86
3750820,PEACHLAND,198,161,37
3751040,PELETIER,206,163,43
3751080,PEMBROKE,961,373,588
3751780,PIKEVILLE,306,222,84
3751820,PILOT MOUNTAIN,585,362,223
3751840,PINEBLUFF,449,337,112
3751940,PINEHURST,4510,3972,538
3752000,PINE KNOLL SHORES,776,703,73
3752020,PINE LEVEL,592,362,230
3752140,PINETOPS,557,305,252
3752220,PINEVILLE,1632,569,1063
3752260,PINEY GREEN,4202,2572,1630
3752400,PINK HILL,206,108,98
3752660,PITTSBORO,855,501,354
3752685,PLAIN VIEW,680,564,116
3752760,PLEASANT GARDEN,1783,1567,216
3752920,PLEASANT HILL,481,378,103
3753040,PLYMOUTH,1623,879,744
3753140,POLKTON,297,216,81
3753160,POLKVILLE,214,156,58
3753200,POLLOCKSVILLE,126,96,30
3753360,NA,501,7,494
3753680,POWELLSVILLE,122,85,37
3753820,PRINCETON,471,261,210
3753840,PRINCEVILLE,346,288,58
3753900,PROCTORVILLE,57,45,12
3753950,PROSPECT,239,221,18
3754160,PUMPKIN CENTER,734,570,164
3754580,RAEFORD,1323,875,448
3754600,RAEMON,74,59,15
3755000,RALEIGH,112608,58079,54529
3755040,RAMSEUR,652,414,238
3755080,RANDLEMAN,1452,868,584
