geocode,geocode_desc,median_age_b,median_age_m,median_age_f
37001,ALAMANCE,38.7,37.5,39.7
37003,ALEXANDER,40.8,39.8,42
37005,ALLEGHANY,45.9,44.3,47.5
37007,ANSON,39.5,37.7,41.7
37009,ASHE,45.5,43.6,47.1
37011,AVERY,42.3,40.7,45.1
37013,BEAUFORT,43.8,42,45.4
37015,BERTIE,42.9,39.5,45.7
37017,BLADEN,41.3,39.7,42.8
37019,BRUNSWICK,47.4,46.1,48.6
37021,BUNCOMBE,40.6,39.1,42.3
37023,BURKE,41.2,39.2,43.4
37025,CABARRUS,36.7,35.6,37.7
37027,CALDWELL,41.3,40.4,42.3
37029,CAMDEN,40.1,39.7,40.4
37031,CARTERET,45.8,44.2,47.2
37033,CASWELL,43.6,41.7,45.7
37035,CATAWBA,39.6,38.5,40.6
37037,CHATHAM,43.6,42.1,45.1
37039,CHEROKEE,48.1,46.8,49.4
37041,CHOWAN,44.8,42.5,46.3
37043,CLAY,49.6,47.6,51.2
37045,CLEVELAND,40.3,39.1,41.5
37047,COLUMBUS,39.8,38,41.9
37049,CRAVEN,36.2,33.6,38.9
37051,CUMBERLAND,31,29.3,32.9
37053,CURRITUCK,41.3,41,41.6
37055,DARE,43.6,42.3,44.9
37057,DAVIDSON,40.3,39.5,41.2
37059,DAVIE,42.5,41.4,43.5
37061,DUPLIN,37.8,36.1,39.5
37063,DURHAM,33.2,32.3,34.2
37065,EDGECOMBE,39.6,37.7,41.2
37067,FORSYTH,37.2,35.7,38.5
37069,FRANKLIN,39.1,37.7,40.4
37071,GASTON,38.9,37.8,39.9
37073,GATES,42,41.4,42.5
37075,GRAHAM,44.3,42.8,45.6
37077,GRANVILLE,39.8,38.7,41
37079,GREENE,37.7,36.2,39.9
37081,GUILFORD,36.3,35.1,37.5
37083,HALIFAX,41.7,39.7,43.7
37085,HARNETT,33.5,32.7,34.3
37087,HAYWOOD,45.6,44,47.2
37089,HENDERSON,45.4,43.2,47.3
37091,HERTFORD,41,39,43.3
37093,HOKE,30.9,30.2,31.6
37095,HYDE,41.2,38.6,45.9
37097,IREDELL,38.9,37.8,39.9
37099,JACKSON,36.3,34.5,38.1
37101,JOHNSTON,36.3,35.2,37.4
37103,JONES,44.1,42.8,45.3
37105,LEE,37.4,35.9,38.6
37107,LENOIR,41,38.5,43.4
37109,LINCOLN,40.4,39.7,41.2
37111,MCDOWELL,41.6,40.1,43.3
37113,MACON,47.8,45.6,49.7
37115,MADISON,43.3,41.9,44.7
37117,MARTIN,44,42.7,45.1
37119,MECKLENBURG,33.9,32.8,34.9
37121,MITCHELL,45.7,43.8,47.3
37123,MONTGOMERY,40.2,39.1,41.2
37125,MOORE,45,43.2,46.5
37127,NASH,39.9,38.4,41.3
37129,NEW HANOVER,37.3,35.7,38.9
37131,NORTHAMPTON,45.5,42.7,47.6
37133,ONSLOW,25.7,24.2,28.5
37135,ORANGE,33.1,32.5,33.8
37137,PAMLICO,48.3,46.6,49.8
37139,PASQUOTANK,36.6,34.9,38.5
37141,PENDER,41.1,40.2,42
37143,PERQUIMANS,46.4,45.7,47.1
37145,PERSON,41.4,40.1,42.8
37147,PITT,31,30.1,31.8
37149,POLK,49.1,46.9,51
37151,RANDOLPH,39.5,38.6,40.4
37153,RICHMOND,38.7,37,40.3
37155,ROBESON,34.4,33,35.8
37157,ROCKINGHAM,42.2,40.9,43.5
37159,ROWAN,39.1,37.9,40.2
37161,RUTHERFORD,42.5,41.2,43.7
37163,SAMPSON,38.2,36.9,39.4
37165,SCOTLAND,38.4,36.9,39.9
37167,STANLY,40.5,39.1,41.9
37169,STOKES,42.8,41.7,43.8
37171,SURRY,41.2,39.7,42.8
37173,SWAIN,40.8,39.7,42
37175,TRANSYLVANIA,48.8,46.8,50.5
37177,TYRRELL,41.4,37.9,46.1
37179,UNION,36.2,35.3,37
37181,VANCE,38.6,36.5,40.2
37183,WAKE,34.4,33.4,35.3
37185,WARREN,44.9,42.9,46.8
37187,WASHINGTON,44,42.8,44.9
37189,WATAUGA,28.4,27.1,30.2
37191,WAYNE,36.6,34.6,38.5
37193,WILKES,42.4,41,43.9
37195,WILSON,38.7,36.9,40.3
37197,YADKIN,41.4,40.3,42.5
37199,YANCEY,45.5,43.9,47.2
