geocode,geocode_desc,median_age_b,median_age_m,median_age_f
3760180,SEDALIA,47.5,46.9,48.2
3760320,SELMA,31.8,29.6,33.7
3760505,SEVEN DEVILS,49.2,47.5,53.2
3760515,SEVEN LAKES,54.4,54,54.8
3760540,SEVEN SPRINGS,41.5,38.5,49.5
3760560,SEVERN,51.5,49.2,56.5
3760800,SHALLOTTE,43.9,40.8,46.7
3760940,SHANNON,30.1,27.3,30.6
3761060,SHARPSBURG,34.9,31.4,38.6
3761200,SHELBY,41.4,38.4,43.9
3761860,SILER CITY,31.1,29.2,33.1
3761920,SILVER CITY,45.4,38.1,50.3
3761950,SILVER LAKE,34.4,33.1,35.6
3762040,SIMPSON,39,36.1,42.9
3762060,SIMS,31,29.8,32.5
3762190,SKIPPERS CORNER,37,34.4,40.5
3762520,SMITHFIELD,41.6,38.2,45.2
3762680,SNEADS FERRY,37.1,35.1,38.8
3762760,SNOW HILL,41.9,39.2,45.5
3763120,SOUTHERN PINES,47,44.6,49.3
3763130,SOUTHERN SHORES,54.2,53.8,54.5
3763240,SOUTH HENDERSON,35.8,33.7,37.8
3763340,SOUTH MILLS,41,37.9,44.8
3763360,SOUTHMONT,43.2,41.9,43.9
3763400,SOUTHPORT,55.9,53.1,57.4
3763470,SOUTH ROSEMARY,41.7,39,44
3763560,SOUTH WELDON,25.3,23.1,27.6
3763680,SPARTA,43.3,38.9,47.4
3763720,SPEED,47.7,45,51.5
3763760,SPENCER,39.1,37.1,40.7
3763780,SPENCER MOUNTAIN,20.8,23,16.3
3763880,SPINDALE,39.7,38.6,41.4
3763920,SPIVEY'S CORNER,37.1,36.8,37.8
3764160,SPRING HOPE,47.1,42.7,50.2
3764180,SPRING LAKE,24.9,24.6,25.3
3764260,SPRUCE PINE,42.5,37.5,46
3764380,STALEY,39.1,38.3,40.2
3764420,STALLINGS,38.4,37.5,39.2
3764460,STANFIELD,36.9,35.7,37.8
3764500,STANLEY,38.7,37,40
3764560,STANTONSBURG,44.9,42.1,46.3
3764580,STAR,37.8,36.5,39.6
3764740,STATESVILLE,37.8,35.4,39.9
3764840,STEDMAN,35.9,34.9,36.8
3764940,STEM,32.8,30.3,34
3765020,STOKES,43.5,38.5,47.8
3765040,STOKESDALE,39.9,39.6,40.3
3765100,STONEVILLE,42.6,41.1,44.8
3765120,STONEWALL,41.6,41.1,42.5
3765260,STONY POINT,38.4,37.1,40.6
3765320,STOVALL,41.5,38.6,42.9
3765530,SUGAR MOUNTAIN,37.3,36.5,39.1
3765580,SUMMERFIELD,42.1,41.7,42.3
3765700,SUNBURY,40.9,44.3,39.3
3765900,SUNSET BEACH,64,64.6,63.5
3766040,SURF CITY,43.1,41.9,43.8
3766280,SWANNANOA,38.2,35.5,40.1
3766340,SWAN QUARTER,49,48.8,49.5
3766360,SWANSBORO,38,35.5,39.7
3766460,SWEPSONVILLE,43.2,42.1,44.9
3766500,SYLVA,36.4,34.4,39.6
3766520,TABOR CITY,44,40.2,46.2
3766700,TARBORO,42.3,39.4,44.9
3766740,TAR HEEL,54.3,53.3,54.5
3766960,TAYLORSVILLE,43.5,38.2,47.4
3766980,TAYLORTOWN,43.8,42.9,44.6
3767000,TEACHEY,33,32,34
3767420,THOMASVILLE,36.2,34.2,38
3767700,TOAST,44.9,42.5,46.6
3767720,TOBACCOVILLE,45.9,44.4,47
3768040,TOPSAIL BEACH,57.4,56.3,58.5
3768320,TRENTON,44.4,38.5,48.3
3768340,TRENT WOODS,50.2,49.4,50.8
3768400,TRINITY,44,43,44.9
3768500,TROUTMAN,37,35,39.2
3768520,TROY,36.7,34.1,37.7
3768580,TRYON,56.8,51.8,60.4
3768740,TURKEY,43.9,40.5,46.5
3769020,TYRO,37.6,37,38.1
3769260,UNIONVILLE,39.4,38.9,39.8
3769520,VALDESE,43.5,41.3,45.2
3769600,VALLE CRUCIS,45.3,41.9,46.7
3769640,VALLEY HILL,48.6,47.1,49.7
3769680,VANCEBORO,31.1,30.7,31.6
3769720,VANDEMERE,48.3,47.8,48.4
3769740,VANDER,44.1,43.4,44.5
3769755,VANN CROSSROADS,43.8,44,43.5
3769795,VARNAMTOWN,47.8,47.3,48.3
3769840,VASS,41.1,41,41.2
3770320,WACO,43.4,42.8,44.3
3770340,WADE,42,40,43.2
3770380,WADESBORO,39.8,35.8,42.2
3770480,WAGRAM,42.6,38.8,45
3770540,WAKE FOREST,34.2,33,35.1
3770580,WAKULLA,38.8,42.5,38
3770660,WALKERTOWN,42.6,41.8,43.3
3770720,WALLACE,40.9,35.9,45.2
3770740,WALLBURG,41.5,40.9,42.1
3770780,WALNUT COVE,49.2,45.7,51.7
3770820,WALNUT CREEK,53.5,54.5,52.8
3770860,WALSTONBURG,40.8,31.8,46.5
3770920,WANCHESE,40.9,39.9,42.1
3771100,WARRENTON,54.2,52,57
3771160,WARSAW,38.4,35.9,39.8
3771220,WASHINGTON,41.6,38.2,44.6
3771240,WASHINGTON PARK,44.3,43.8,45.7
3771320,WATHA,43.3,44.5,41.8
3771440,WAVES,43.5,43.3,44.5
3771460,WAXHAW,34.5,33.7,35.2
3771500,WAYNESVILLE,46.7,43.2,49.4
3771560,WEAVERVILLE,51.4,47,54
3771600,WEBSTER,38.7,38.7,38.8
3771680,WEDDINGTON,43.3,43.5,43.2
3771760,WELCOME,41.7,41.3,42.2
3771780,WELDON,46.2,44.3,46.8
3771860,WENDELL,33.4,31.4,35.4
3771900,WENTWORTH,41.6,40.6,42.9
3771940,WESLEY CHAPEL,38.1,37.4,38.7
3772150,WEST CANTON,42.6,40.7,43.6
3772540,WEST JEFFERSON,43.9,40.5,48
3772600,WEST MARION,42.2,40.4,43.8
3772755,WESTPORT,42.9,42.2,43.5
3773140,WHISPERING PINES,52.3,51.1,53.9
3773160,WHITAKERS,45.3,45.3,45.3
3773300,WHITE LAKE,44.7,43.2,45.7
3773320,WHITE OAK,40.9,42.5,40.7
3773460,WHITE PLAINS,41.1,39.4,42.2
3773660,WHITEVILLE,41.4,37.7,44.4
3773760,WHITSETT,49,48.4,49.8
3774020,WILKESBORO,45.4,40.8,49.5
3774220,WILLIAMSTON,41.9,40.6,43
3774440,WILMINGTON,34.7,32.9,36.4
3774540,WILSON,37.2,34.8,39.2
3774580,WILSON'S MILLS,30.4,30.4,30.4
3774680,WINDSOR,38.6,33.4,46.9
3774720,WINFALL,44,40.5,46.5
3774760,WINGATE,22.5,21.8,23
3775000,WINSTON-SALEM,34.6,33.1,36.1
3775060,WINTERVILLE,34.3,33.7,34.9
3775080,WINTON,42.2,39.7,45.5
3775280,WOODFIN,36.6,35.7,38.5
3775340,WOODLAND,40.5,36.8,43.1
3775375,WOODLAWN,44.8,44.3,45.1
3775780,WRIGHTSBORO,39.7,38,41.4
3775820,WRIGHTSVILLE BEACH,35.6,34.6,37.3
3775960,YADKINVILLE,39.1,34.5,42.7
3776000,YANCEYVILLE,39.8,36.8,46.5
3776200,YOUNGSVILLE,32.5,32,32.8
3776220,ZEBULON,35.3,33.5,37.3
