geocode,total,owned_loan,owned_clear,rented
3725460,285,93,117,75
3725480,13928,9105,1841,2982
3725540,22,10,2,10
3725560,623,205,210,208
3725580,42123,22563,6894,12666
3725680,253,132,72,49
3725880,782,510,182,90
3725900,252,117,74,61
3725940,214,67,73,74
3725980,4984,3397,646,941
3726200,1339,743,303,293
3726460,2050,1139,400,511
3726520,96,43,30,23
3726680,525,266,165,94
3726740,97,45,28,24
3726880,12760,4985,2310,5465
3726920,246,133,63,50
3727120,603,330,149,124
3727280,8306,4108,1609,2589
3727320,25,16,9,0
3727420,4264,2338,599,1327
3727440,2550,1475,363,712
3727520,566,232,203,131
3727780,49,14,14,21
3727870,305,107,75,123
3728000,121212,67496,17926,35790
3728080,42822,17237,3985,21600
3728200,1298,658,313,327
3728240,255,79,86,90
3728400,568,257,119,192
3728600,140,53,67,20
3728900,5430,3486,474,1470
3728920,149,83,38,28
3729000,170,61,54,55
3729120,160,37,80,43
3729160,3483,1734,772,977
3729180,3730,2373,776,581
3729560,1189,567,402,220
3729640,445,207,90,148
3729680,102,59,35,8
3729720,81,41,26,14
3729800,8517,6938,889,690
3730040,36,14,13,9
3730100,487,227,137,123
3730120,11572,4445,817,6310
3730260,1663,906,383,374
3730280,294,112,66,116
3730340,1782,896,439,447
3730620,1311,806,237,268
3730660,4163,1793,1170,1200
3730720,9514,3082,2064,4368
3730800,341,73,143,125
3730900,977,445,199,333
3731060,27173,13693,4416,9064
3731260,497,203,157,137
3731360,859,385,290,184
3731400,51000,29999,7016,13985
3731440,593,291,99,203
3731490,287,153,54,80
3731500,1863,834,487,542
3731620,3526,2198,402,926
3731660,797,558,76,163
3731860,163,63,62,38
3731880,127,25,72,30
3731920,209,77,67,65
3731960,554,232,241,81
3732100,16,7,8,1
3732180,1058,474,172,412
3732260,19041,16579,774,1688
3732540,193,98,39,56
3732580,1019,586,262,171
3732640,8962,5711,763,2488
3732740,2260,1447,565,248
3732840,526,113,228,185
3732980,3458,1876,746,836
3733120,37239,28648,2500,6091
3733320,2380,1066,668,646
3733460,110,66,35,9
3733560,25575,20598,1878,3099
3733640,159,95,52,12
3733820,664,363,165,136
3733940,69,27,26,16
3733993,384,130,101,153
3734000,280,130,121,29
3734038,828,367,274,187
3734200,32458,11197,2324,18937
3734260,4500,2487,944,1069
3734300,2699,1766,526,407
3734320,304,113,102,89
3734440,1229,426,254,549
3734840,1825,671,399,755
3735200,27946,15077,4577,8292
3735340,363,164,119,80
3735360,60,12,26,22
3735440,294,101,145,48
3735460,444,171,135,138
3735540,765,296,130,339
3735600,17306,9496,2196,5614
3735720,5846,3168,578,2100
3735760,6316,3943,913,1460
3735870,6192,3760,874,1558
3735880,7309,3400,1477,2432
3735890,57,24,11,22
3735920,5722,2751,1696,1275
3736020,110,39,42,29
3736060,3114,1964,463,687
3736080,5314,3782,335,1197
3736220,1947,985,349,613
3736400,1141,640,253,248
3736480,2649,1231,887,531
3736500,1130,605,354,171
3736511,7006,4773,1289,944
3736512,2832,2270,224,338
3736513,2040,1296,432,312
3736514,41,16,18,7
3736640,1068,572,269,227
3736860,2743,1538,554,651
3736960,151,62,33,56
3737000,97,48,37,12
3737040,333,156,98,79
3737120,836,362,230,244
3737160,1996,1011,640,345
3737220,6545,3392,1336,1817
3737260,478,214,110,154
3737640,40,21,12,7
3737680,11221,7270,1611,2340
3737760,13544,5914,2967,4663
3738030,75,25,31,19
3738040,11299,8206,1888,1205
3738060,9124,3342,1893,3889
3738100,1682,914,322,446
3738170,169,65,59,45
3738200,267,105,116,46
3738220,1169,425,203,541
3738320,6902,2749,1267,2886
3738360,99,58,30,11
3738680,326,146,120,60
3738860,2666,1608,549,509
3739280,3525,1422,719,1384
3739360,1207,557,240,410
3739420,82,33,18,31
3739480,2912,1623,436,853
3739520,2710,1993,413,304
3739540,309,146,67,96
3739600,499,189,150,160
3739680,71,46,19,6
3739700,8117,3721,1885,2511
3739880,586,288,109,189
3739960,378,127,143,108
3740140,45,18,26,1
3740240,67,19,44,4
3740460,936,432,290,214
3740540,102,63,29,10
3740560,1443,703,280,460
3740600,1052,495,300,257
3740640,229,68,68,93
3740660,2572,1356,548,668
3740860,736,342,240,154
3740980,710,265,176,269
3741060,1146,457,190,499
3741220,311,108,118,85
3741380,75,23,42,10
3741420,5061,2005,1001,2055
3741540,1987,982,560,445
3741580,821,264,235,322
3741600,395,183,139,73
3741620,1067,439,264,364
3741640,944,535,162,247
3741720,4710,4218,344,148
3741960,21428,14903,2579,3946
3742000,273,104,104,65
3742020,475,226,138,111
3742060,2108,722,476,910
3742100,441,251,82,108
3742240,8186,5043,824,2319
3742480,84,49,12,23
3742620,345,124,77,144
3742640,39,13,11,15
3742700,416,146,129,141
3742760,2717,1775,495,447
3742860,4095,2581,919,595
3743160,1977,855,636,486
3743200,572,362,130,80
3743260,6350,3759,1631,960
3743300,88,40,23,25
3743360,2099,1517,346,236
3743440,399,214,136,49
3743480,17187,12529,2784,1874
3743580,230,108,42,80
3743720,3442,1983,507,952
3743860,198,60,97,41
3743880,375,205,86,84
3743920,14171,8649,2009,3513
3744100,394,153,155,86
3744160,256,126,66,64
3744220,25239,16080,2323,6836
3744280,1284,618,366,300
3744320,6713,2461,1219,3033
3744400,10480,4572,2221,3687
3744520,9666,5084,466,4116
3744560,99,23,54,22
3744700,3013,1574,765,674
3744770,3001,1931,573,497
3744800,8268,3510,1789,2969
3744900,488,219,159,110
3744960,10613,6337,1342,2934
3745100,1502,567,419,516
3745140,1487,827,226,434
3745460,3336,2802,260,274
3745560,2218,1151,634,433
3745640,1011,484,267,260
3745660,1303,444,263,596
3745720,11078,7670,653,2755
3745840,8145,5623,1147,1375
3745880,2513,1391,358,764
3746000,2690,1635,392,663
3746060,364,218,72,74
3746280,1693,1149,241,303
3746340,16239,8331,2571,5337
3746740,579,161,209,209
3746820,543,316,137,90
3746860,3109,1619,449,1041
3747000,8657,4259,1586,2812
3747020,377,157,123,97
3747240,518,159,191,168
3747260,69,12,30,27
3747485,2824,1512,286,1026
3747695,1480,1144,245,91
3747845,677,243,120,314
3747860,210,99,57,54
3747880,2718,973,501,1244
3747980,1681,812,421,448
3748040,1436,946,277,213
3748060,122,50,42,30
3748345,6542,3058,1419,2065
3748480,5434,4410,663,361
3748700,523,284,179,60
3748740,739,307,242,190
3748790,6369,4693,820,856
3748920,771,258,222,291
3748940,162,40,27,95
3749380,834,337,318,179
3749460,48,4,33,11
3749600,458,223,106,129
3749800,2986,1579,602,805
3750080,122,52,42,28
3750340,322,212,66,44
3750540,24,8,7,9
3750700,541,229,94,218
3750820,273,119,91,63
3751040,579,236,163,180
3751080,488,22,23,443
3751780,589,290,129,170
3751820,1289,548,245,496
3751840,1068,598,194,276
3751940,11900,7049,3209,1642
3752000,1285,672,460,153
3752020,1201,573,241,387
3752140,477,176,140,161
3752160,144,69,54,21
3752220,3789,1278,366,2145
3752260,8068,3930,879,3259
3752400,285,103,86,96
3752500,797,486,194,117
3752660,2343,1560,280,503
3752685,1490,852,397,241
3752760,3590,2242,859,489
3752920,836,404,239,193
3753040,1062,521,376,165
3753140,425,175,114,136
3753160,507,196,146,165
3753200,209,92,47,70
3753475,5386,3496,874,1016
3753580,467,200,185,82
3753680,101,41,37,23
3753820,789,317,145,327
3753840,55,33,4,18
3753900,87,39,27,21
3753950,38,4,15,19
3754160,1501,889,265,347
3754580,1872,1057,357,458
3754600,49,20,12,17
3755000,207279,121617,20745,64917
3755040,1115,537,227,351
3755080,3527,1824,460,1243
3755260,2520,1576,342,602
3755340,38,24,9,5
3755460,711,405,201,105
3755640,2991,2108,560,323
3755660,1103,468,372,263
3755900,7341,3318,1484,2539
3755940,55,28,13,14
3756100,30,10,10,10
3756240,1003,501,273,229
3756340,507,279,91,137
3756360,1088,654,150,284
3756440,313,150,120,43
3756600,388,212,131,45
3756710,2642,1360,763,519
3756815,2540,1397,722,421
3756900,9948,4929,2001,3018
3757000,520,185,187,148
3757020,507,80,211,216
3757100,438,162,199,77
3757200,2109,1504,193,412
3757260,5314,2349,1259,1706
3757340,1995,1081,360,554
3757500,18292,9618,3973,4701
3757540,879,480,190,209
3757580,252,89,53,110
3757640,2711,2223,182,306
3757700,376,153,138,85
3757740,123,24,51,48
3757800,562,179,188,195
3757860,765,358,274,133
3758020,499,106,171,222
3758040,775,512,177,86
3758140,229,65,126,38
3758160,3333,1105,782,1446
3758180,134,60,51,23
3758260,3953,2587,743,623
3758340,311,143,104,64
3758360,2083,1095,424,564
3758420,359,196,112,51
3758440,1293,668,338,287
3758460,3329,1588,709,1032
3758620,288,204,51,33
3758630,3083,2105,849,129
3758720,1033,462,243,328
3758730,7028,4096,1608,1324
3758740,2076,1056,614,406
3758840,381,139,132,110
3758860,14690,6953,3001,4736
3758920,593,232,229,132
3758940,222,81,43,98
3759090,234,143,40,51
3759135,64,38,15,11
3759280,12284,6691,1939,3654
3759340,209,65,98,46
3759540,4868,2326,975,1567
3759580,1246,683,252,311
3759765,505,425,67,13
3759780,591,301,195,95
3759980,146,49,64,33
3760000,1734,1056,377,301
3760080,211,72,59,80
3760180,124,83,17,24
3760320,1707,655,294,758
3760505,183,107,22,54
3760515,4557,3020,1213,324
3760540,70,19,30,21
3760560,189,71,90,28
3760800,2955,1478,486,991
3760940,15,0,9,6
3761060,757,325,200,232
3761200,10743,5047,2460,3236
3761860,2228,954,611,663
3761920,41,8,15,18
3761950,4314,2598,571,1145
3762040,251,157,47,47
3762060,204,105,43,56
3762190,1601,1082,236,283
3762520,5343,2517,1092,1734
3762680,2416,1036,505,875
3762760,610,288,117,205
3763120,8487,4367,1682,2438
3763130,2650,1810,517,323
3763240,366,113,125,128
3763340,349,160,107,82
3763360,1369,837,308,224
3763400,2116,1124,401,591
3763470,1182,464,364,354
3763560,113,30,51,32
3763680,1352,431,334,587
3763720,27,8,11,8
3763760,1774,892,364,518
3763780,28,2,0,26
3763880,2803,1039,582,1182
3763920,323,195,72,56
3764160,634,259,111,264
3764180,4631,539,219,3873
3764260,1851,770,442,639
3764380,314,176,70,68
3764420,11856,9558,1238,1060
3764460,1385,847,272,266
3764500,2986,1662,404,920
3764560,391,196,91,104
3764580,576,238,184,154
3764740,12315,5998,2396,3921
3764840,854,509,120,225
3764940,376,247,43,86
3765020,304,160,77,67
3765040,4492,3404,548,540
3765100,829,379,248,202
3765120,215,96,69,50
3765260,1162,463,339,360
3765320,223,104,55,64
3765530,179,66,54,59
3765580,9075,7121,1313,641
3765700,241,102,77,62
3765900,3452,1842,1184,426
3766040,1747,727,319,701
3766280,3643,1689,915,1039
3766340,210,81,100,29
3766360,2360,1150,386,824
3766460,1026,614,196,216
3766500,2053,564,497,992
3766520,1450,498,461,491
3766700,5042,2548,1234,1260
3766740,106,24,57,25
3766960,1506,534,269,703
3766980,234,158,48,28
3767000,134,75,29,30
