geocode,geocode_desc,total,owned_loan,owned_clear,rented
3713360,COATS,583,265,109,13
3713460,COFIELD,0,334,108,65
3713500,COINJOCK,95,8,0,0
3713560,COLERAIN,41,13,4,0
3713940,COLUMBIA,124,384,46,161
3713980,COLUMBUS,259,26,0,0
3714060,COMO,27,7,3,0
3714100,CONCORD,12822,14056,6440,606
3714200,CONETOE,4,223,77,55
3714280,CONNELLY SPRINGS,349,20,17,2
3714340,CONOVER,1788,724,325,63
3714400,CONWAY,71,400,89,44
3714460,COOLEEMEE,204,79,33,3
3714600,CORDOVA,334,212,117,18
3714700,CORNELIUS,5153,1462,739,69
3715020,COVE CITY,89,174,65,83
3715040,COVE CREEK,260,0,0,0
3715260,CRAMERTON,827,171,91,13
3715320,CREEDMOOR,469,1460,878,93
3715420,CRESWELL,45,119,21,37
3715440,CRICKET,504,27,6,1
3715580,CROSSNORE,16,0,0,0
3715880,CULLOWHEE,2002,185,2,3
3716180,DALLAS,1262,695,264,62
3716220,DANA,624,43,10,5
3716240,DANBURY,19,0,0,0
3716400,DAVIDSON,1442,602,232,79
3716480,DAVIS,80,0,0,0
3716730,DEERCROFT,14,1,1,0
3716780,DELCO,42,19,6,7
3716820,DELLVIEW,1,3,0,0
3716860,DELWAY,36,53,9,28
3716980,DENTON,659,2,2,0
3717000,DENVER,616,64,19,7
3717180,DILLSBORO,95,1,0,0
3717325,DOBBINS HEIGHTS,43,735,220,240
3717340,DOBSON,487,41,2,2
3717520,DORTCHES,117,232,166,25
3717660,DOVER,48,221,77,72
3717860,DREXEL,386,60,22,2
3718040,DUBLIN,61,66,12,10
3718060,DUCK,66,0,0,0
3718300,DUNDARRACH,6,8,5,0
3718320,DUNN,1496,3904,923,439
3719000,DURHAM,32754,89267,35358,3746
3719140,EARL,56,21,9,4
3719300,EAST ARCADIA,5,438,171,117
3719320,EAST BEND,146,7,5,0
3719420,EAST FLAT ROCK,1278,199,114,21
3719620,EAST LAURINBURG,42,57,11,1
3719740,EASTOVER,566,687,331,153
3719800,EAST ROCKINGHAM,926,620,175,72
3719860,EAST SPENCER,139,1289,331,184
3720080,EDEN,4028,3660,1253,309
3720120,EDENTON,637,2614,543,368
3720280,EDNEYVILLE,594,80,46,8
3720420,EFLAND,134,231,110,59
3720580,ELIZABETH CITY,2793,8638,2165,840
3720600,ELIZABETHTOWN,466,1698,433,298
3720620,ELKIN,950,263,93,45
3720700,ELK PARK,117,4,0,0
3720780,ELLENBORO,262,143,50,23
3720840,ELLERBE,210,417,134,127
3720980,ELM CITY,137,736,310,118
3721095,ELON,2743,573,257,90
3721120,ELROD,15,62,17,9
3721130,ELROY,800,869,368,89
3721160,EMERALD ISLE,999,33,12,5
3721360,ENFIELD,42,2157,523,268
3721380,ENGELHARD,78,179,68,30
3721500,ENOCHVILLE,587,27,15,0
3721740,ERWIN,920,762,248,107
3721880,ETOWAH,868,76,42,18
3721960,EUREKA,25,47,28,12
3722040,EVERETTS,44,44,12,15
3722080,EVERGREEN,57,197,27,99
3722240,FAIR BLUFF,95,610,176,231
3722280,FAIRFIELD,15,108,55,36
3722305,FAIRFIELD HARBOUR,399,111,65,11
3722360,FAIRMONT,127,1503,293,376
3722380,FAIRPLAINS,520,277,115,62
3722440,FAIRVIEW,492,28,15,0
3722500,FAIRVIEW,391,31,13,7
3722560,FAISON,170,120,8,22
3722600,FAITH,145,12,0,3
3722620,FALCON,37,8,6,2
3722640,FALKLAND,21,17,5,5
3722720,FALLSTON,137,30,17,2
3722820,FARMVILLE,462,2258,524,204
3722920,FAYETTEVILLE,37957,82630,32692,5042
3722982,FEARRINGTON VILLAGE,384,25,18,0
3723520,FIVE POINTS,33,203,115,34
3723600,FLAT ROCK,278,16,10,0
3723640,FLAT ROCK,394,101,42,25
3723760,FLETCHER,1126,293,177,3
3724080,FOREST CITY,2308,1800,459,166
3724170,FOREST HILLS,169,17,10,3
3724198,FOREST OAKS,177,597,538,23
3724380,FOSCOE,480,2,0,0
