geocode,total,owned_loan,owned_clear,rented
3700160,6225,2598,656,2971
3700440,1138,698,229,211
3700500,4836,1469,648,2719
3700640,951,712,159,80
3700680,15259,6211,2365,6683
3701000,702,300,194,208
3701140,347,166,94,87
3701380,1711,431,605,675
3701400,4312,1934,469,1909
3701420,631,309,166,156
3701520,37355,27100,2238,8017
3701560,397,218,97,82
3701640,556,180,218,158
3701720,11196,6696,1591,2909
3701760,4292,3224,497,571
3702080,24347,8435,3298,12614
3702140,79144,30668,11516,36960
3702240,380,199,84,97
3702320,241,83,106,52
3702460,299,160,103,36
3702480,543,221,214,108
3702500,1495,446,330,719
3702580,884,331,213,340
3702620,520,142,157,221
3702700,196,56,55,85
3702760,1950,1329,295,326
3702780,776,382,221,173
3702840,4843,2035,666,2142
3702960,1125,468,220,437
3703020,569,214,169,186
3703100,464,125,108,231
3703150,158,104,46,8
3703220,1187,693,219,275
3703500,656,230,113,313
3703640,1254,519,254,481
3703665,952,644,212,96
3703840,249,142,83,24
3703960,644,212,209,223
3704015,3393,2464,375,554
3704040,346,142,145,59
3704180,73,20,33,20
3704260,3888,1048,852,1988
3704510,320,180,73,67
3704640,1688,546,453,689
3704680,466,290,76,100
3704840,9420,5484,1312,2624
3704950,1936,1526,117,293
3704955,307,141,92,74
3704960,950,445,268,237
3705020,282,159,101,22
3705040,3151,1031,440,1680
3705049,1284,752,314,218
3705135,1652,953,596,103
3705220,5331,2410,768,2153
3705340,328,186,80,62
3705460,1573,606,336,631
3705530,4214,2774,908,532
3705660,1296,356,331,609
3705880,1343,859,396,88
3706000,1591,547,437,607
3706080,769,339,192,238
3706140,7622,3375,1644,2603
3706240,1750,542,449,759
3706500,1176,480,370,326
3706510,33,18,6,9
3706660,157,46,73,38
3706740,684,409,114,161
3706760,5369,3466,862,1041
3706800,3527,2303,397,827
3706820,143,74,31,38
3706860,691,242,251,198
3706980,443,142,99,202
3707080,11976,1980,982,9014
3707140,1222,610,272,340
3707220,386,228,91,67
3707400,103,18,50,35
3707720,6772,2278,1579,2915
3707765,3067,2408,378,281
3707860,454,142,94,218
3708040,2334,1105,684,545
3708080,1227,645,289,293
3708110,2630,1269,502,859
3708140,382,129,62,191
3708420,428,100,117,211
3708480,1336,460,247,629
3708760,1193,256,176,761
3708860,344,129,56,159
3708880,552,237,130,185
3708960,2936,977,446,1513
3709060,49057,20576,6878,21603
3709140,1537,446,341,750
3709360,7078,3579,1369,2130
3709380,294,110,126,58
3709400,1273,510,322,441
3709530,2823,1487,625,711
3709540,1786,638,519,629
3709760,536,196,140,200
3709780,599,269,105,225
3709800,285,138,97,50
3710120,825,335,227,263
3710240,4149,1975,901,1273
3710260,1917,1145,414,358
3710460,652,213,252,187
3710500,5706,2395,662,2649
3710550,3048,1613,1118,317
3710620,19545,7641,1213,10691
3710680,2093,966,445,682
3710740,134974,86882,12325,35767
3710760,297,122,111,64
3710800,157,57,51,49
3710860,268,112,118,38
3710880,1202,569,241,392
3710960,398,247,114,37
3710980,603,268,193,142
3711340,1279,717,252,310
3711352,300,192,98,10
3711560,89,39,28,22
3711620,207,81,95,31
3711640,1846,486,460,900
3711800,48230,19298,5279,23653
3712000,718055,373836,51737,292482
3712140,2120,508,1038,574
3712340,5589,2921,1021,1647
3712460,113,44,40,29
3712480,3530,1794,536,1200
3712580,814,241,186,387
3712720,1352,803,215,334
3712780,810,229,222,359
3712860,16018,9708,1076,5234
3712960,18414,11932,2909,3573
