geocode,total,owned_loan,owned_clear,rented
3726520,31,0,0,0
3726680,94,0,0,0
3726740,24,38,11,25
3726880,5839,18966,4745,1482
3726920,55,13,4,6
3727120,140,128,78,10
3727280,2833,3160,852,118
3727320,0,0,0,0
3727420,1403,63,23,12
3727440,724,248,123,39
3727520,131,65,42,15
3727780,23,514,177,128
3727870,192,1153,577,239
3728000,39565,103696,36969,4148
3728080,22348,29955,6320,1164
3728200,365,1069,357,175
3728240,93,151,53,13
3728400,194,80,35,2
3728600,20,4,1,1
3728900,1614,1810,1090,70
3728920,28,72,11,36
3729000,62,269,75,128
3729120,43,244,57,77
3729160,1029,2313,561,284
3729180,598,194,91,59
3729560,220,0,0,0
3729640,159,29,21,3
3729680,15,63,26,27
3729720,14,25,10,1
3729800,717,1947,1697,43
3730040,9,48,20,19
3730100,131,0,0,0
3730120,6913,3381,1128,120
3730260,417,230,85,16
3730280,118,0,0,0
3730340,447,6,4,2
3730620,276,114,66,5
3730660,1390,9543,1721,953
3730720,4806,1181,279,149
3730800,136,71,30,15
3730900,338,1002,211,141
3731060,10655,5525,1436,298
3731260,146,1,0,0
3731360,199,0,0,0
3731400,15427,33825,12399,1394
3731440,206,47,22,0
3731490,80,21,7,2
3731500,546,28,22,0
3731620,955,1568,642,202
3731660,165,57,50,5
3731860,39,171,41,60
3731880,30,0,0,0
3731920,65,333,168,90
3731960,81,4,0,3
3732100,1,167,75,54
3732180,437,115,37,19
3732260,1769,3148,1946,313
3732540,57,152,45,36
3732580,174,4,0,0
3732640,2721,4085,2276,66
3732740,255,14,10,0
3732840,193,2,0,2
3732980,853,86,32,3
3733120,6827,4394,2592,197
3733320,651,6,1,0
3733460,9,0,0,0
3733560,3448,3386,2509,95
3733640,27,119,44,41
3733820,136,54,25,10
3733940,18,186,89,63
3733993,155,6,0,1
3734000,29,166,63,43
3734038,209,240,104,44
3734200,21099,12393,3577,569
3734260,1137,758,297,136
3734300,408,473,217,9
3734320,90,167,42,27
3734440,576,12,4,0
3734840,786,257,82,53
3735200,9055,8657,3096,582
3735340,86,86,47,11
3735360,22,191,96,43
3735440,48,234,70,120
3735460,146,277,68,45
3735540,372,462,110,89
3735600,6052,2903,1256,58
3735720,2263,80,3,0
3735760,1489,114,91,4
3735870,1632,1166,518,72
3735880,2483,2286,692,207
3735890,22,600,282,127
3735920,1382,14389,3713,1315
3736020,29,58,21,27
3736060,716,31,13,0
3736080,1331,4387,2708,53
3736220,623,12,11,0
3736400,249,1592,551,279
3736480,548,10,4,0
3736500,172,23,4,3
3736511,979,192,111,38
3736512,351,233,179,2
3736513,325,378,227,38
3736514,7,0,0,0
3736640,227,117,44,24
3736860,703,100,40,2
3736960,56,0,0,0
3737000,12,18,5,1
3737040,79,13,2,2
3737120,244,263,84,104
3737160,353,12,3,0
3737220,1843,7262,2064,811
3737260,156,91,51,8
3737640,7,20,2,10
3737680,2462,1366,620,76
3737760,4871,2246,651,202
3738030,19,456,182,101
3738040,1233,674,455,39
3738060,4483,5078,1320,316
3738100,519,550,225,109
3738170,56,507,235,98
3738200,46,263,92,93
3738220,577,732,122,171
3738320,3538,1368,265,70
3738360,11,20,0,6
3738680,60,318,63,51
3738860,560,64,47,10
3739280,1471,559,177,40
3739360,439,1202,186,154
3739420,31,0,0,0
3739480,882,303,212,20
3739520,316,131,66,27
3739540,100,3,3,0
3739600,185,281,158,32
3739680,6,14,2,1
3739700,2697,7290,1329,803
3739880,189,13,0,5
3739960,108,69,8,23
3740140,1,20,6,12
3740240,11,23,5,11
3740460,217,47,27,7
3740540,10,17,2,13
3740560,491,662,239,92
3740600,273,9,5,0
3740640,148,319,82,55
3740660,699,303,147,39
3740860,166,22,17,2
3740980,308,6,3,0
3741060,572,129,33,22
3741220,85,0,0,0
3741380,10,100,37,39
3741420,2186,489,126,77
3741540,495,1077,397,48
3741580,328,0,0,0
3741600,73,0,0,0
3741620,378,23,7,7
3741640,351,1070,336,174
3741720,148,332,315,6
3741960,4243,2623,1486,93
3742000,65,257,78,22
3742020,117,1578,433,310
3742060,950,265,63,34
3742100,113,503,171,126
3742240,2453,2329,1052,113
3742480,23,136,70,37
3742620,149,54,15,10
3742640,15,84,40,23
3742700,141,244,80,60
3742760,448,212,122,37
3742860,605,398,230,80
3743160,509,13,1,0
3743200,81,4,0,0
3743260,1049,113,52,31
3743300,25,76,25,24
3743360,261,383,225,81
3743440,70,7,2,2
3743480,2060,2806,1566,57
3743580,80,1,0,0
3743720,1014,750,297,71
3743860,41,22,8,11
3743880,90,259,115,84
3743920,5210,8171,2905,450
3744100,87,2,0,0
3744160,64,52,5,10
3744220,7303,3556,1268,203
3744280,437,118,32,19
3744320,3185,895,181,138
3744400,4078,1870,600,195
3744520,4388,2454,617,65
3744560,22,387,92,142
3744700,795,89,42,2
