geocode,vacant_total,for_rent,rented_unoccupied,for_sale,sold,seasonal,migrant,other
37001020100,229,125,4,36,3,8,0,56
37001020200,311,104,0,52,2,8,0,150
37001020301,168,78,2,40.474128633988684,6,2,0,47
37001020302,124.000000000011,55.000000000003,1.000000000001,52.19875859296536,4,3,0,33.000000000002004
37001020400,343.000000000009,122.000000000002,2.000000000001,96.74293352403343,5,1,0,166.000000000003
37001020501,196,74,2,43.71542809260326,5,4,0,78
37001020502,174,44,2,48.081884998055266,3,1,0,87
37001020601,67.999999999998,3,0,43.48672607449436,4,5.999999999999,0,29
37001020602,145,60,0,29,2,9,0,45
37001020701,323,204,4,78.500681111629,4,5,0,44
37001020702,317.999999999998,206,2,36,4,5,0,66.999999999998
37001020801,72.000000000027,33.000000000012,0,15.407921657999808,3,1,0,26.000000000014
37001020802,339.670313119146,152.840545299852,7,60.121044333251035,13,6,0,101.413488377846
37001020901,105.259624823798,35.184284920861,1,30.60290117044043,4,7,0,37.075339902937
37001020902,66.000000000001,13,1,104.85411706729477,4,7,0,7
37001021000,256.070062057053,154.975169779287,2,62.28848545035504,4,4,0,56.511171719214
37001021101,175.999999999999,97,0,40.46607653718936,0,1,0,51.999999999997
37001021102,173.000000000001,96,3,35.68033549657563,1,6.000000000001,0,42
37001021201,293.999999999986,101.999999999995,2,71.42849400515136,11,14,0,124.999999999997
37001021204,148.999999999989,49,2,68.7212072548832,8.999999999997,3,0,55.999999999995
37001021205,107.142459229626,45.999999999991,3,36.838918785341235,2.082846339475,6,0,22.069529817355
37001021206,153,29,2,60.830924281065826,5,5,0,74
37001021207,131.067901846891,60.277109371373,2,22.81904320077927,13.609488081838,4.613445086122,0,33.710612722794004
37001021300,202.699722823201,32.990257434556,6.9687095455209995,103.854414170792,6.995128717278,14.997369433237,0,94.973067937903
37001021400,108.964262902907,16,3,15.984357305665826,6.966905610131,16,1,57.997357292776
37001021500,170.923476145624,23,3.998390468482,38.69126900175681,5,6.995192872525,2,99.95481398288
37001021600,323.657818219757,118.882717641597,4,66.41469403372103,3,8,0,156.852919280906
37001021701,77,24,1,17.900962589802695,4,6,0,27.999999999999
37001021702,78,26,0,32.15195881360976,2,8,0,24
37001021703,236.99983062769,118.999999999978,3,233.17216008031875,5.000000000001,12,0,31.999830627719
37001021801,143.000169372289,35.000000000003,1,29.404576885292474,7,9.000000000001,0,64.000169372282
37001021802,128,21,0,80.91200718115701,7,9,0,66
37001021803,119.980421313096,14.999772257808,1,24.32394822764084,11,8.999772257808,0,69.980515385008
37001021901,168,35,0,155.72976790532834,7,10,0,72
37001021902,151.999999999986,38.999999999997996,2,70.47627067760808,20.999999999999,10,0,52.99999999999
37001022001,144,29,1,58.69928375016008,5,9,0,59
37001022002,143.72579820926398,37.963064372581,5,88.90603486342911,3,7.976801865989,0,47.99517167839
37003040100,167.931810519925,17.950827904511,0,20.526846385096857,3,26.981148104693,2,99.999834510721
37003040200,181.000000000008,34,3,13.878928566608169,2,28,0,108.000000000008
37003040300,145.999999999998,41.000000000001,4,23.466699897100288,6,12,0,69.999999999997
37003040400,370.000000000006,123,5,81.4990347289512,8,23,0,158.000000000006
37003040500,314.975045882021,75,4,37.73813844488715,16,16.981317082955,0,178.993728799066
37003040600,331,28,3,34.36112832063723,14,144,1,121
37003040700,253,46,0,108.47031366024757,15,78,0,65
37005950100,1644.71732339109,102.994219491086,2.99704149389,158.35630526539813,20,1268.492021826165,15.085550625411999,172.328520339836
37005950200,471.999999999992,85,6,128.61912100473762,8,195.999999999994,3,123.999999999998
37005950300,1183.275379421289,22.027059908472,1,171.58311281804356,9.944110793627,909.961099031063,11.99826090872,168.995612708892
37007920100,313,43,2,108.72634301916464,6,36,1,119
37007920200,149,47,5,17,8,27,0,49
37007920301,325.972790707309,93.98029244706,2,23.999144182942793,14,42.992498260249,0,153
37007920302,51,3,1,5,2,11,1,29
37007920400,229.144339139344,64.048113046448,3,23.944722095082085,10,17,0,117.096226092896
37007920501,83.079473935721,26.035909627614,2,6.1846380602082665,6,7,0,38.035909627614004
37007920502,310.776186924935,97.915977325938,0,81.74282366191636,28,22,0,112.86786427948999
37007920600,359,71,7,36.36849110589464,11,73,1,165
37007980000,0,0,0,0,0,0,0,0
37009970200,433,9,2,21.875387055428213,2,316,0,95
37009970300,523.998321837331,11.999827880752001,1,29.51975053653674,3,334.998623046015,1,157.999870910564
37009970400,532.999999999996,88.999999999998,8,45.1099456843127,11,306,2,83.999999999999
37009970501,668.999999999982,72,3,152.34027430557236,6.999999999997,510.999999999989,0,24.999999999998998
