geocode,median_age_b,median_age_m,median_age_f
3721960,53.2,49.5,58
3722040,49,49.5,47.8
3722080,43,39,46.2
3722240,46.8,44,48.1
3722280,48,49.4,47.3
3722305,63.5,64.3,62.8
3722360,42.5,40,45.1
3722380,39.8,39.5,40.2
3722440,43.2,41.8,44.8
3722500,42.6,42.2,43
3722560,34.4,32.3,36.5
3722600,41.4,41.3,41.4
3722620,27,28,26.5
3722640,40.5,41,40.5
3722720,37.9,36,39.4
3722820,42.5,38.9,45.3
3722920,29.9,28.2,31.9
3722982,72.3,73.1,71.5
3723520,38,36.6,38.9
3723600,64,64.6,63.6
3723640,42.3,41.2,43.5
3723760,39.2,38.3,40.2
3724080,40,36.9,42
3724170,43.9,38.3,45.6
3724198,46.8,46,47.4
3724380,41.8,40,43.9
3724440,44.1,41.3,45.4
3724520,37.6,34.4,40.3
3724570,54.1,54.2,54
3724640,40.5,36.6,45.7
3724720,41.4,40.2,43.3
3724740,32.9,31.6,33.8
3724900,47.2,46.3,48.1
3725020,50,49.2,51.3
3725160,42.4,40.7,45.3
3725300,34.2,32.8,35.4
3725380,41.5,40.3,43.1
3725460,40.9,36.5,44.9
3725480,37.1,35.4,38.6
3725540,44.7,37.4,47
3725560,41.9,40.1,42.7
3725580,38,36.4,39.4
3725680,46.6,44,48.3
3725880,47.8,47.2,48.5
3725900,47.8,46.1,49.2
3725940,37.3,32.3,38.8
3725980,38.4,36.9,39.9
3726200,39.6,39.1,40.1
3726460,37.3,36.1,38.1
3726520,55.3,55.8,53.8
3726680,44,43.1,45.9
3726740,43.8,46.8,43.3
3726880,36.1,32.7,39.5
3726920,49,49.1,48.9
3727120,38.9,38.4,40.2
3727280,37.5,35.7,39.2
3727320,71.5,65.5,74
3727420,38.9,37.3,40.4
3727440,38.1,37,39.1
3727520,42.4,42.2,43
3727780,34.3,34.3,34.3
3727870,35.4,33.8,37
3728000,33.4,32.1,34.6
3728080,26,25.7,26.4
3728200,38.8,36.5,40.2
3728240,38.5,37.3,39.3
3728400,36.1,33.3,38.4
3728600,42.5,40.5,46.3
3728900,27.8,27,28.7
3728920,43,40.5,43.7
3729000,43.3,39,46.4
3729120,47.3,46,49.4
3729160,37,35.4,38.2
3729180,42.6,42.6,42.6
3729560,53.8,53.9,53.7
3729640,40.4,38.3,43.1
3729680,44.5,37.5,49.8
3729720,46.5,44.5,47.5
3729800,37.3,36.1,38.3
3730040,46,49.5,43
3730100,46.8,44.9,47.5
3730120,23.5,22.9,24.5
3730260,38.5,38.6,38.5
3730280,45.8,42.5,48.7
3730340,39.5,38.4,40.9
3730620,39.6,38.6,40.8
3730660,38.6,35,41.5
3730720,48.7,42.6,53.3
3730800,40.7,41.4,37.5
3730900,38.6,35.5,40.8
3731060,37.7,36.2,39
3731260,43.3,42,44
3731360,56.6,53.3,59.3
3731400,35.8,34.4,37.1
3731440,37,35.5,37.4
3731490,42,42.4,39.3
3731500,42,40.4,43.6
3731620,38.2,36.4,40.1
3731660,39,36,43.4
