geocode,total,owned_loan,owned_clear,rented
3727120,267,59,67,141
3727280,2114,835,426,853
3727320,0,0,0,0
3727420,228,47,24,157
3727440,96,53,6,37
3727520,34,4,19,11
3727780,51,15,5,31
3727870,632,199,234,199
3728000,18805,6079,890,11836
3728080,2888,695,192,2001
3728200,236,79,52,105
3728240,35,19,10,6
3728400,20,16,0,4
3728600,0,0,0,0
3728900,738,442,16,280
3728920,1,1,0,0
3729000,14,0,6,8
3729120,4,0,0,4
3729160,379,107,48,224
3729180,108,40,18,50
3729560,0,0,0,0
3729640,52,22,5,25
3729680,36,7,0,29
3729720,0,0,0,0
3729800,359,312,17,30
3730040,0,0,0,0
3730100,12,0,0,12
3730120,1812,528,63,1221
3730260,366,163,72,131
3730280,3,0,0,3
3730340,41,21,12,8
3730620,62,35,4,23
3730660,955,160,190,605
3730720,1624,300,129,1195
3730800,49,13,19,17
3730900,86,6,18,62
3731060,4329,764,298,3267
3731260,35,12,6,17
3731360,45,3,0,42
3731400,8313,3178,225,4910
3731440,27,7,0,20
3731490,20,13,0,7
3731500,35,9,0,26
3731620,339,235,19,85
3731660,28,17,4,7
3731860,11,8,1,2
3731880,1,0,0,1
3731920,15,0,15,0
3731960,13,0,4,9
3732100,19,0,0,19
3732180,56,10,0,46
3732260,1386,1014,70,302
3732540,52,8,16,28
3732580,14,9,2,3
3732640,1335,823,40,472
3732740,47,33,0,14
3732840,8,0,0,8
3732980,195,107,20,68
3733120,3169,1481,111,1577
3733320,106,46,23,37
3733460,0,0,0,0
3733560,3500,2574,184,742
3733640,193,46,42,105
3733820,20,13,6,1
3733940,13,3,1,9
3733993,18,0,16,2
3734000,5,5,0,0
3734038,68,12,25,31
3734200,6230,1516,142,4572
3734260,327,115,44,168
3734300,88,52,2,34
3734320,6,5,0,1
3734440,117,10,0,107
3734840,164,62,11,91
3735200,4906,1713,320,2873
3735340,102,22,20,60
3735360,0,0,0,0
3735440,7,2,5,0
3735460,32,1,9,22
3735540,99,10,19,70
3735600,2128,626,155,1347
3735720,586,92,20,474
3735760,172,97,7,68
3735870,529,128,75,326
3735880,238,71,20,147
3735890,8,0,3,5
3735920,469,103,27,339
3736020,0,0,0,0
3736060,77,28,0,49
3736080,1231,700,41,490
3736220,34,13,7,14
3736400,89,9,25,55
3736480,43,7,4,32
3736500,19,9,9,1
3736511,126,68,12,46
3736512,138,119,4,15
3736513,67,42,4,21
3736514,4,0,4,0
3736640,11,0,5,6
3736860,230,112,11,107
3736960,1,1,0,0
3737000,4,4,0,0
3737040,11,5,0,6
3737120,15,13,2,0
3737160,42,22,4,16
3737220,254,77,34,143
3737260,28,14,1,13
3737640,0,0,0,0
3737680,570,256,41,273
3737760,1510,527,112,871
3738030,11,0,0,11
3738040,358,221,62,75
3738060,2976,853,77,2046
3738100,374,127,62,185
3738170,13,2,0,11
3738200,4,0,0,4
3738220,127,36,3,88
3738320,1612,365,53,1194
3738360,7,0,7,0
3738680,6,0,0,6
3738860,169,63,8,98
3739280,468,176,28,264
3739360,141,21,20,100
3739420,6,0,0,6
3739480,191,88,13,90
3739520,50,26,0,24
3739540,12,8,0,4
3739600,307,73,66,168
3739680,5,2,2,1
3739700,1182,159,68,955
3739880,29,4,0,25
3739960,11,0,0,11
3740140,0,0,0,0
3740240,22,0,7,15
3740460,29,17,2,10
3740540,0,0,0,0
3740560,107,37,14,56
3740600,48,10,5,33
